attendance_percentage,assignment_average,test_average,lms_login_count,risk_level,outcome
73.1,76.55,74.51,80,Medium,1
77.8,75.94,54.78,39,Medium,1
60.72,50.58,47.26,9,Medium,1
70.98,52.56,56.22,21,Medium,1
77.2,81.58,74.62,55,Low,1
80.71,80.58,61.01,68,Low,1
67.19,66.82,43.9,16,High,1
77.69,76.75,56.13,69,Medium,1
86.66,81.1,80.05,76,Low,1
77.01,76.65,80.78,57,Low,1
91.44,66.81,79.51,69,Low,1
64.24,61.61,71.92,34,Medium,1
61.01,57.39,39.39,47,High,1
82.15,85.82,67.34,52,Low,1
48.02,53.9,40.34,16,High,1
44.11,31.58,32.74,10,High,0
10.14,44.15,31.86,11,High,0
80.67,89.09,73.57,68,Low,1
41.78,19.92,23.06,6,High,0
60.67,56.08,58.32,34,Medium,1
51.21,26.2,26.92,20,High,0
78.84,63.87,79.1,23,Low,1
95.65,80.99,72.08,59,Low,1
72.22,66.64,85.95,53,Medium,1
37.72,46.67,50.57,18,High,0
100.0,76.08,79.04,46,Low,1
71.18,70.17,57.49,45,Medium,1
52.83,46.09,62.22,23,High,1
88.16,84.15,75.82,79,Low,1
83.17,66.88,64.66,63,Low,1
56.51,46.46,72.55,14,Medium,1
64.65,47.29,60.31,32,Medium,1
81.01,79.92,67.93,76,Low,1
79.26,75.71,60.79,67,Low,1
67.31,49.91,66.63,35,Medium,1
75.66,44.22,44.68,41,High,1
42.29,50.46,55.69,14,High,1
74.88,54.85,63.35,25,Medium,1
64.6,52.65,35.33,39,High,0
82.64,70.22,81.8,65,Low,1
70.5,45.29,81.28,57,Medium,1
51.95,15.7,39.42,8,High,0
75.83,87.29,68.99,60,Low,1
48.88,45.39,65.1,60,High,1
76.15,63.76,69.86,93,Low,1
74.54,71.98,60.77,89,Medium,1
63.72,53.34,55.64,63,Medium,1
89.28,75.59,66.6,66,Low,1
19.23,55.37,29.0,30,High,0
82.57,76.25,66.4,61,Low,1
34.53,35.73,49.38,25,High,0
48.98,30.05,29.72,19,High,0
20.55,25.35,28.3,23,High,0
60.6,71.05,55.23,43,Medium,1
79.83,69.1,89.21,80,Low,1
78.43,83.26,79.12,74,Low,1
76.41,73.93,53.19,91,Medium,1
88.43,77.3,66.93,52,Low,1
78.53,75.63,77.03,78,Low,1
36.27,31.38,34.23,16,High,0
79.58,73.96,65.86,64,Low,1
72.71,56.91,59.42,43,Medium,1
82.56,81.87,76.26,65,Low,1
69.06,79.53,46.56,45,Medium,1
81.11,81.81,58.92,76,Medium,1
71.16,67.93,73.35,70,Medium,1
86.57,81.76,78.68,87,Low,1
40.41,54.15,30.9,0,High,0
45.31,43.34,5.12,6,High,0
41.33,40.06,37.61,10,High,0
71.05,78.28,81.54,88,Medium,1
61.96,73.51,56.27,49,Medium,1
75.27,59.66,43.78,31,High,1
89.02,82.47,56.17,47,Medium,1
44.4,13.95,30.67,24,High,0
45.97,19.56,36.28,17,High,0
